Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-09-06T23:27:49.166 ,7,-0.0067224187990899,-0.5464100559136279,FoVP,0.6746437545288504,0.7240201004014007,2456907.477212449
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-09-07T01:14:23.354 ,6,-0.0016785144954598943,-0.5479996612811732,FoVF,0.6755228618061219,0.7227330544247019,2456907.5512121194
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-09-25T16:10:41.843 ,1,0.006572590790428582,0.7782290222182745,FoVF,-0.47453878726526666,0.7143191912748382,2456926.171955643
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-09-25T20:24:21.981 ,3,-1.3328938084776555E-4,0.7674241456364468,FoVP,-0.4659573889300243,0.7179297536578583,2456926.348099887
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-09-25T22:10:56.166 ,6,-0.0028882010461885412,0.7628462846370334,FoVF,-0.46232263378386845,0.7194321591477985,2456926.42210047
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-10-07T02:31:59.035 ,5,-0.002812367558451388,-0.017010075123760925,FoVP,0.14501983410946037,0.718099837621039,2456937.6025122027
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-10-07T04:18:33.217 ,5,-5.540022185626548E-4,-0.021890357817631143,FoVF,0.1482861758436961,0.7165063068901395,2456937.6765136262
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2014-10-07T08:32:13.323 ,1,0.004901971485862255,-0.03347038916439718,FoVP,0.15598841604015715,0.7126549897071969,2456937.8526596627
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-05T17:43:59.312 ,2,0.004616117800514057,-2.8014614940763134,FoVF,-0.06951831951940456,0.6960814456758377,2457028.235809487
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-05T21:57:39.438 ,3,3.616813639029579E-4,-2.8139847999083387,FoVP,-0.061110048670764,0.6990661713317824,2457028.4119810173
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-05T23:44:13.639 ,5,-0.0013830555181559272,-2.8192603038445614,FoVF,-0.057548666395301165,0.7002886262845308,2457028.485993294
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-06T03:57:53.510 ,7,-0.005432797796424636,-2.83185102138496,FoVP,-0.049003299073785075,0.703122084981332,2457028.66216193
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-13T16:03:51.377 ,6,-0.004533238002493142,2.8980852070386303,FoVP,0.36321618299144226,0.7027676333217632,2457036.166879933
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-13T17:50:25.523 ,6,-0.0025529707589473233,2.8928963043070293,FoVF,0.36717819267808754,0.7015898354009477,2457036.2408922547
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-13T22:04:05.538 ,2,0.0023259502338739287,2.880609908999391,FoVP,0.37655693156686343,0.6987164544677645,2457036.4170641312
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-01-13T23:50:39.807 ,2,0.0044450393800489745,2.875476175022246,FoVF,0.38047484334812226,0.6974807287849131,2457036.491077897
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-02-20T03:27:14.624 ,2,0.0021691399368700265,-2.144960895087803,FoVP,-0.7031859408587073,0.7041059657323238,2457073.645003026
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-02-20T05:13:48.833 ,7,-0.003326627196353147,-2.1448760476123203,FoVF,-0.7032677902941251,0.7040145701048742,2457073.719017591
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T08:48:46.398 ,7,-0.005847822046070045,2.963848465987689,FoVP,0.2693173241610089,0.7058321212063623,2457113.872028749
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T10:35:20.705 ,7,-0.004868563046699891,2.969140137482931,FoVF,0.26523504213407584,0.7064840101595541,2457113.9460426182
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T14:49:00.889 ,5,-0.002691978909387298,2.981762172142324,FoVP,0.25550181335939465,0.7079436590525213,2457114.1222156556
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T16:35:35.140 ,6,-0.001842189349626018,2.987075274888307,FoVF,0.2514066415447569,0.7085178908417082,2457114.196228854
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T20:49:15.199 ,3,2.738662592006566E-5,2.999744364099396,FoVP,0.24164696935158322,0.7097909562832908,2457114.3724003984
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-01T22:35:49.401 ,4,7.487167712080903E-4,3.0050755874900568,FoVF,0.23754249177392242,0.7102861220228286,2457114.446413013
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T02:49:29.354 ,2,0.0023138557380268585,3.017783936441141,FoVP,0.22776502509115487,0.7113695315568096,2457114.6225832733
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T04:36:03.515 ,3,0.0029078755261192943,3.023130043535758,FoVF,0.22365491861066508,0.7117844583299971,2457114.6965953936
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T08:49:43.379 ,1,0.004171472289249668,3.0358700433240386,FoVP,0.21386849282638784,0.7126756994973391,2457114.872764582
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T10:36:17.508 ,2,0.00463946360622498,3.0412278796383965,FoVF,0.20975649815159048,0.7130094486276094,2457114.946776296
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T16:36:31.405 ,1,0.0059480924147392806,3.05935862955662,FoVF,0.1958599592465859,0.7139584269576825,2457115.1969560226
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-02T22:36:45.233 ,1,0.006838785191191367,3.0775121513388815,FoVF,0.18197808748440075,0.7146294986471403,2457115.447134876
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-03T16:37:26.562 ,1,0.0070591520397648485,3.1320133091560547,FoVF,0.14054724712891756,0.7149674786860463,2457116.1976691918
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-03T22:37:40.372 ,1,0.006335721591173183,-3.13302148170837,FoVF,0.12684984845323388,0.7145226684196327,2457116.4478475284
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T04:37:54.239 ,2,0.005224792433648722,-3.114893228881017,FoVF,0.11322877279664692,0.7138012581122556,2457116.698026458
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T08:51:34.051 ,1,0.0042137725373994645,-3.1021454809770153,FoVP,0.10368920213637688,0.7131284736601567,2457116.874194626
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T10:38:08.188 ,2,0.003733338240012875,-3.096794981413644,FoVF,0.0996953417385774,0.71280545559479,2457116.9482062566
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T14:51:48.071 ,2,0.0024586778288343174,-3.0840727623881508,FoVP,0.09022401623469449,0.711941085333482,2457117.124375198
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T16:38:22.241 ,4,0.0018685679484726062,-3.078734027323116,FoVF,0.08626038413262871,0.7115380339911425,2457117.1983871926
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T20:52:02.212 ,3,3.3547065621013325E-4,-3.0660421919811647,FoVP,0.07686460456829486,0.710484348230264,2457117.374557092
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-04T22:38:36.422 ,5,-3.620997639827309E-4,-3.060717191973769,FoVF,0.07293418323324925,0.7100022916521567,2457117.4485695264
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-05T02:52:16.496 ,5,-0.002148297719118235,-3.048060265385097,FoVP,0.06362083852429201,0.708761905786898,2457117.6247405615
