Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-09-24T21:39:16.631 ,1,0.006658607568409965,-2.6561864833355275,FoVF,-0.059372642088759434,0.7113609975233476,2456925.399102081
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-09-25T01:52:56.846 ,2,0.002759970294639789,-2.668283278097226,FoVP,-0.05128249580736226,0.7141144920337067,2456925.575274578
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-09-25T03:39:31.090 ,4,0.0011597290775944907,-2.673377477888782,FoVF,-0.047857837682680524,0.7152425540124088,2456925.6492873337
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-09-25T07:53:11.080 ,5,-0.002558198462860736,-2.6855316771449744,FoVP,-0.039645173108531405,0.7178580947813668,2456925.825457278
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-09-25T09:39:45.231 ,7,-0.0040814205677123586,-2.690649785093358,FoVF,-0.036169425247406545,0.7189273320443831,2456925.8994689826
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-10-23T16:55:11.944 ,5,-0.0027346362187467598,-2.0626559490280427,FoVP,-0.6471380279434709,0.7120571040073841,2456954.2043003836
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-11-22T04:34:10.585 ,4,-9.709568248596774E-4,2.6771437782874905,FoVP,0.6710374241656367,0.7061229391150583,2456983.6926459367
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-11-22T06:20:44.784 ,2,0.004202922886855719,2.6790304135791057,FoVF,0.6694211270693773,0.7072503076751717,2456983.7666601543
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-12-12T12:20:29.961 ,3,0.0034463438005733343,-2.3199909110856938,FoVF,-0.4450225811718153,0.7050801842489571,2457004.0183577994
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2014-12-12T16:34:10.026 ,7,-0.006553339985137201,-2.311385311700618,FoVP,-0.4504251095329104,0.6996206063901961,2457004.1945307935
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-04-27T11:35:10.296 ,4,-3.79188763103323E-4,-0.43881734981607956,FoVP,0.6941295528996195,0.7176051057083066,2457139.9847672083
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-04-27T13:21:44.499 ,2,0.004827135832693235,-0.43780679186418714,FoVF,0.6935042213611964,0.7185552273388032,2457140.0587669485
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-05-30T17:09:26.852 ,2,0.0030630944756319346,0.9887576338252984,FoVP,-0.6158131948813848,0.7212671805799994,2457173.2136729416
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-05-30T18:56:01.072 ,5,-0.0010497619749920784,0.9855303223221578,FoVF,-0.6132695556471832,0.7228289199348723,2457173.287673341
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-06-17T19:02:04.455 ,7,-0.00486014373594993,-0.17271430068910903,FoVF,0.3248024290228441,0.726211291487806,2457191.2903562137
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-06-17T23:15:44.436 ,2,0.0026033783120816135,-0.18260366453107937,FoVP,0.3308922608885182,0.7213989051502994,2457191.4664999773
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-06-18T01:02:18.705 ,1,0.005759345117906071,-0.18674287053811298,FoVF,0.3334253657020388,0.719365662734105,2457191.5405020905
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-11-03T06:05:02.042 ,6,-0.004855842834782147,-2.0387480853135616,FoVP,-0.7007729677375127,0.7112764289079584,2457329.753837681
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-12-07T05:31:11.329 ,5,-0.003516418524806244,2.7615841869494195,FoVP,0.5361109218661448,0.7053182630672867,2457363.733652683
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-12-07T07:17:45.561 ,4,2.8390442431519395E-4,2.7656081819914657,FoVF,0.5327989556830203,0.7070605153421246,2457363.8076666016
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-12-20T23:37:57.892 ,3,5.488991852682721E-4,-2.563013427844128,FoVP,-0.24942177420161693,0.7062950004648076,2457377.4894965617
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2015-12-21T01:24:32.117 ,6,-0.002510351396540496,-2.5583815937784036,FoVF,-0.25254035604607883,0.7042729279244239,2457377.5635093763
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-22T01:18:18.120 ,5,-0.0031592718232113666,0.3496220190970359,FoVP,0.034950511935210545,0.7051863374331269,2457469.559493056
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-22T03:04:52.372 ,6,-0.0016287706626680121,0.3548120561393587,FoVF,0.031177361607685035,0.7062892051625662,2457469.633495447
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-22T07:18:32.386 ,2,0.0018996448261554219,0.3671978720283645,FoVP,0.022131615415866328,0.7088289256067652,2457469.809640706
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-22T09:05:06.548 ,3,0.0033332932397342196,0.37241461993213354,FoVF,0.018304545161617995,0.7098595954802073,2457469.883642036
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-28T09:10:11.606 ,2,0.005119122856193438,0.8050366839377089,FoVF,-0.32031006768458037,0.712156636842195,2457475.8867309066
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-28T13:23:51.489 ,3,0.0013457769210327734,0.8173017695607573,FoVP,-0.3301388901651211,0.7098084584779081,2457476.0628733668
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-28T15:10:25.689 ,5,-3.0804281960433965E-4,0.8224326345436143,FoVF,-0.33425028190676986,0.7087872507203083,2457476.1368745957
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-03-28T19:24:05.806 ,6,-0.004407668076563138,0.8345907725819482,FoVP,-0.34399208525783287,0.7062760174772091,2457476.3130197274
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-05-07T06:45:10.911 ,7,-0.0059110930944891275,-0.4701591528695713,FoVP,0.71779525974889,0.7178606811965091,2457515.782370379
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-05-07T08:31:45.119 ,5,-6.367403441876032E-4,-0.470277722901934,FoVF,0.7178055955732937,0.7178608872004227,2457515.856370099
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-16T13:57:31.108 ,1,0.007070088359803786,0.703017135141998,FoVF,-0.35043054539489626,0.7180311612702535,2457556.078923649
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-16T18:11:11.340 ,1,0.0034317512734902576,0.6911726675231968,FoVP,-0.3413916864602782,0.7203216251526336,2457556.2550702384
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-16T19:57:45.596 ,3,0.001962016112165791,0.6861790565708215,FoVF,-0.33758067065972414,0.7212542138114758,2457556.32907216
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-17T00:11:25.626 ,4,-0.001396620816922796,0.6742531206740224,FoVP,-0.3284785139400594,0.7234018880601427,2457556.5052164537
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-17T01:57:59.800 ,6,-0.0027490150356148124,0.6692267584932308,FoVF,-0.32464208517161797,0.7242733910621051,2457556.579217444
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-17T06:11:39.642 ,7,-0.005828826443133546,0.6572263595753322,FoVP,-0.31548237415383684,0.7262731733259423,2457556.7553596008
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-23T00:16:37.239 ,7,-0.006396065157868822,0.25617456931938826,FoVP,-0.016888656839145828,0.7269210214581352,2457562.5083842967
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-23T06:16:51.203 ,5,-0.002531402496683267,0.2390244547424542,FoVP,-0.004902082628813381,0.7241319744026885,2457562.7585285236
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-23T08:03:25.379 ,5,-0.0013357278753740038,0.23396301481746987,FoVF,-0.001384039270031045,0.7232666355246699,2457562.8325300547
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-23T12:17:05.404 ,2,0.0016049277718925023,0.221938274492296,FoVP,0.00693739664003976,0.7211341149080185,2457563.008675557
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-06-23T14:03:39.652 ,3,0.0028796641477480877,0.21689624277874583,FoVF,0.010411052077206811,0.7202079518227685,2457563.0826779497
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-09-25T19:40:06.407 ,1,0.004428264895790442,-2.523793152671561,FoVP,-0.16105978781727912,0.7178342416470319,2457657.3164885053
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-09-25T21:26:40.671 ,3,0.0021476505041756627,-2.5286264529949993,FoVF,-0.15792101132469266,0.7194204012958133,2457657.3905016133
